Sample ID,Date,Publication,OCR Text,Ground Truth,CER
3200797029,1882-05-27,Illustrated Police News,__RO BBERY AT A BARONET'S.,ROBBERY AT A BARONETS.,0.18181818181818182
3200797029,1882-05-27,Illustrated Police News,"v EDWARn PRING, twenty-seven, caipentbr, was bro1ught up on remand at the Greenwich Police-court, charged with stealing jewellery to the Value of �100, the pro- pertyofSirRobert Cunliffe, Bart.,2,L1P., of37 Lot ndes- street, Beigravia.","EDWARD PRING, twenty-seven, carpenter, was brought up on remand at the Greenwich Police-court, charged with stealing jewellery to the value of £100, the property of Sir Robert Cunliffe, Bart., M.P., of 37 Lowndes street, Belgravia.",0.09523809523809523
3200797029,1882-05-27,Illustrated Police News,"Chief Inspector Phillips said there were a number of cbarges against the prisoner, all the robberies alleged being tinder similar circumstances.","Chief Inspector Phillips said there were a number of charges against the prisoner, all the robberies alleged being under similar circumstances.",0.02097902097902098
3200797029,1882-05-27,Illustrated Police News,"The prisoner was taken into custody, it appeared, on a charge of stealing a wxatch, and other articles, value �12, from the residence of Miss ,1Kene, 8 Belgrave- terrace, Lee.","The prisoner was taken into custody, it appeared, on a charge of stealing a watch, and other articles, value £12, from the residence of Miss Keene, 8 Belgrave terrace, Lee.",0.03488372093023256
3200797029,1882-05-27,Illustrated Police News,ThP prisoner called at the house and represented that lie had been sent by the landlord to see to the blinds.,The prisoner called at the house and represented that he had been sent by the landlord to see to the blinds.,0.027777777777777776
3200797029,1882-05-27,Illustrated Police News,"He *was given access to the bedrooms, and after he had gone a watch, two rings, - and two lockets were eiliseed.","He was given access to the bedrooms, and after he had gone a watch, two rings, and two lockets were missed.",0.06542056074766354
3200797029,1882-05-27,Illustrated Police News,His statement of having been sent to the house was found to be false.,His statement of having been sent to the house was found to be false.,0.0
3200797029,1882-05-27,Illustrated Police News,"The prisoner was ultimately arrested on this charge, and he was sub- sequently charged withltherobbery fromiSir R, Cunliffe's upon information given by a young woman charged before the magistrate with the unlawvful possession of a diamond ring.","The prisoner was ultimately arrested on this charge, and he was subsequently charged with the robbery from Sir R. Cunliffe's upon information given by a young woman charged before the magistrate with the unlawful possession of a diamond ring.",0.028925619834710745
3200797029,1882-05-27,Illustrated Police News,"Robert Yfoellam, footman to Sir Robert, deposed thbt on March 28 the prisoner came to thle house and said ha had rome to measure the blinds.","Robert Wollam, footman to Sir Robert, deposed that on March 23 the prisoner came to the house and said he had come to measure the blinds.",0.058394160583941604
3200797029,1882-05-27,Illustrated Police News,"Witn6ss said new blinds were not rdqoiifed, ,whereupon prkoner said he had been sent to put soime new springs.","Witness said new blinds were not required, whereupon prisoner said he had been sent to put some new springs.",0.08333333333333333
3200797029,1882-05-27,Illustrated Police News,"He was permitted to go upstairs, and witness afterwards let him out at the Front door.","He was permitted to go upstairs, and witness afterwards let him out at the front door.",0.011627906976744186
3200797029,1882-05-27,Illustrated Police News,The house was being painted.,The house was being painted.,0.0
3200797029,1882-05-27,Illustrated Police News,"Sir Robert Cunliffe was sworn, and said a quiantity ofjewellery *vhs missed on theevening of March 23 by Lady Cunliffe, with whom he had been out during the day.","Sir Robert Cunliffe was sworn, and said a quantity of jewellery was missed on the evening of March 23 by Lady Cunliffe, with whom he had been out during the day.",0.037267080745341616
3200797029,1882-05-27,Illustrated Police News,It was taken from the drawets in her &assin-table.,It was taken from the drawers in her dressing-table.,0.09615384615384616
3200797029,1882-05-27,Illustrated Police News,"He had since identified a pair of paste buckles, gold locket, emerald ring, two diamold rings pair of crystal studs, Nor- mandy cross, single taste bucklel, earbuncle locket, pair of earrings, and two eter rings.","He had since identified a pair of paste buckles, gold locket, emerald ring, two diamond rings, pair of crystal studs, Normandy cross, single paste buckle, carbuncle locket, pair of earrings, and two other rings.",0.04265402843601896
3200797029,1882-05-27,Illustrated Police News,Other articles of jwllery and a purse containing �4 in gold and a �5 note were stoleh.,Other articles of jewellery and a purse containing £4 in gold and a £5 note were stolen.,0.056818181818181816
3200797029,1882-05-27,Illustrated Police News,"Jane Pring, mother of the pri- sonller proved pledging several of the articles at hWr son's request.","Jane Pring, mother of the prisoner, proved pledging several of the articles at her son's request.",0.061855670103092786
3200797029,1882-05-27,Illustrated Police News,The prisoner was further remanded for a week.,The prisoner was further remanded for a week.,0.0
3200797034,1882-05-27,Illustrated Police News,SERVANTS AND THEIR SWEETHEARTS.,SERVANTS AND THEIR SWEETHEARTS.,0.0
