Sample ID,Date,Publication,OCR Text,Ground Truth,old_CER,Model Correction,new_CER,CER_reduction
3200797032,1882-05-27,Illustrated Police News,CHARGE OF SETTING FIRE TO A HOUSE.,CHARGE OF SETTING FIRE TO A HOUSE.,0.0,CHARGE OF SETTING FIRE TO A HOUSE.,0.0,
3200797032,1882-05-27,Illustrated Police News,"AT the Thames police-eourt, Charles Mawzi was charged with wilfully and maliciously setting fire to the house, 2 Caroline-9treet, Commercial-road East.","AT the Thames police-court, Charles Mawzi was charged with willfully and maliciously setting fire to the house, 2 Caroline-street, Commercial-road East.",0.0197368421052631,"AT the Thames police-court, Charles Mawzi was charged with wilfully and maliciously setting fire to the house, 2 Caroline-street, Commercial-road East.",0.006578947368421,66.66666666666657
3200797032,1882-05-27,Illustrated Police News,"At a quarter to four o'clock that 'c�morniink Lilly, a constable, No. 332 E, wias'oh datyin Carblind-stc'eet, . when he met the prisoeer, and he said, ""I hive just come from ,afire,"" alluclingtoaiconflagration in.Philpot- street, Commercial-rbad, "" and therb is anotlher one up the street, close to the brewery.""","At a quarter to four o'clock that morning Lilly, a constable, No. 332 K, was on duty in Caroline-street, when he met the prisoner, and he said, ""I have just come from a fire,"" alluding to a conflagration in Philpot-street, Commercial-road, ""and there is another one up the street, close to the brewery.""",0.1056105610561056,"At a quarter to four o'clock that morning Lilly, a constable, No. 332 E, was on duty in Carblind-street, when he met the prisoner, and he said, ""I have just come from a fire,"" alluding to a conflagration in Philpot-street, Commercial-road, ""and there is another one up the street, close to the brewery.""",0.0099009900990099,90.625
3200797032,1882-05-27,Illustrated Police News,"*Lilly caught hold of him, 'ai found that his coat snd hands were dovered with vwhiteivash, and on being dsl'ed to -acoiant for it he said, "" I have~jdst tome fronm a ire; I'll show you where it is.""","Lilly caught hold of him, and found that his coat and hands were covered with whitewash, and on being asked to account for it he said, ""I have just come from a fire; I'll show you where it is.""",0.1139896373056994,"Lilly caught hold of him, and found that his coat and hands were covered with whitewash, and on being asked to account for it he said, ""I have just come from a fire; I'll show you where it is.""",0.0,100.0
3200797032,1882-05-27,Illustrated Police News,"On reaclhing No. 2, whiG1e is an unoc6njid 'aouse, prisoner pulled open tLie shitters and said, ""Can't you hear the fire now 1"" and Lilly then heard the craulding of wood.","On reaching No. 2, which is an unoccupied house, prisoner pulled open the shutters and said, ""Can't you hear the fire now?"" and Lilly then heard the crackling of wood.",0.1077844311377245,"On reaching No. 2, which is an unoccupied house, prisoner pulled open the shutters and said, ""Can't you hear the fire now?"" and Lilly then heard the crackling of wood.",0.0,100.0
3200797032,1882-05-27,Illustrated Police News,"He iqrihng his rattle, and William Gadd, sorgeant, 23 H, and Alfred Ford, .358 K, caine up.","He sprang his rattle, and William Gadd, sergeant, 23 H, and Alfred Ford, 358 K, came up.",0.0909090909090909,"He was crying his rattle, and William Gadd, sergeant, 23 H, and Alfred Ford, 358 K, came up.",0.0681818181818181,25.0
3200797032,1882-05-27,Illustrated Police News,"Ford got in the windoxw, and on opening the back parlour door he found the stair- ease ia flsmes; also the ground and basement floor partly bnrgt.","Ford got in the window, and on opening the back parlour door he found the staircase in flames; also the ground and basement floor partly burnt.",0.0559440559440559,"Ford got in the window, and on opening the back parlour door he found the staircase in flames; also the ground and basement floor partly burnt.",0.0,100.0
3200797032,1882-05-27,Illustrated Police News,"Lilly ran for the turnuock, and in the meantime Srgeant Ghdd end Ford, eassisted by a ran with a hose in the Commercial f3 ewery, next door to the house, commened ;liyihg on the fire.","Lilly ran for the turncock, and in the meantime Sergeant Gadd and Ford, assisted by a man with a house in the Commercial Brewery, next door to the house, commenced playing on the fire.",0.0760869565217391,"Lilly ran for the turncock, and in the meantime Sergeant Godd and Ford, assisted by a man with a hose in the Commercial brewery, next door to the house, commenced playing on the fire.",0.0163043478260869,78.57142857142856
3200797032,1882-05-27,Illustrated Police News,"In ten minutes' time a fire engine arrived, and the flanes were extinguished Sac~geant Gadd gave tle prisoner into cestoif .","In ten minutes' time a fire engine arrived, and the flames were extinguished Sergeant Gadd gave the prisoner into custody.",0.0737704918032786,"In ten minutes' time a fire engine arrived, and the flames were extinguished Sergeant Gadd gave the prisoner into custody.",0.0,100.0
3200797032,1882-05-27,Illustrated Police News,"The prisoner said he 'ent to put out the fire,",The prisoner said he went to put out the fire.,0.0434782608695652,The prisoner said he went to put out the fire.,0.0,100.0
